File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes,Human_Label
686025.py,686046.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
724852.py,747880.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).,1
748439.py,749622.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
749857.py,750194.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
750288.py,750745.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
757123.py,757186.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
757908.py,758548.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
758885.py,758927.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
758539.py,758587.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
758669.py,758904.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).,1
704266.py,704273.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
761805.py,762332.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).,1
746691.py,750313.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
750816.py,750857.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
754919.py,757841.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
758042.py,759618.py,1,0,1,1,0,0,0,0,"Same algorithm and control-flow structure; differs only in identifier names, formatting, comments, or I/O wrapper.",1
685770.py,691105.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).,1
