File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes,Human_Label
base1_original.py,base1_L1a.py,1,0,1,0,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L1b.py,1,0,1,0,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L2a.py,1,0,0,1,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L3a.py,1,0,0,0,1,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L3b.py,1,0,0,0,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L4a.py,1,0,0,0,0,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L5a.py,1,0,0,0,0,0,1,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_original.py,base1_L6a.py,1,0,1,0,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L1b.py,1,0,1,0,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L2a.py,1,0,1,1,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L3a.py,1,0,1,0,1,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L3b.py,1,0,1,0,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L4a.py,1,0,1,0,0,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L5a.py,1,0,1,0,0,0,1,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1a.py,base1_L6a.py,1,0,1,0,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1b.py,base1_L2a.py,1,0,1,1,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1b.py,base1_L3a.py,1,0,1,0,1,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1b.py,base1_L3b.py,1,0,1,0,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1b.py,base1_L4a.py,1,0,1,0,0,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1b.py,base1_L5a.py,1,0,1,0,0,0,1,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L1b.py,base1_L6a.py,1,0,1,0,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L2a.py,base1_L3a.py,1,0,0,1,1,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L2a.py,base1_L3b.py,1,0,0,1,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L2a.py,base1_L4a.py,1,0,0,1,0,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L2a.py,base1_L5a.py,1,0,0,1,0,0,1,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L2a.py,base1_L6a.py,1,0,1,1,0,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3a.py,base1_L3b.py,1,0,0,0,0,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3a.py,base1_L4a.py,1,0,0,0,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3a.py,base1_L5a.py,1,0,0,0,1,0,1,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3a.py,base1_L6a.py,1,0,1,0,1,0,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3b.py,base1_L4a.py,1,0,0,0,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3b.py,base1_L5a.py,1,0,0,0,1,1,1,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
base1_L3b.py,base1_L6a.py,1,0,1,0,1,1,0,0,"reasoned by Claude (Faidhi&Robinson), family=base1",1
