File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes
145061.py,683169.py,0,0,0,0,0,0,0,0,same assignment but generic index-accumulation dot product with unrelated naming
750622.py,732093.py,0,0,0,0,0,0,0,0,different assignments
685733.py,146838.py,0,0,0,0,0,0,0,0,different assignments
758011.py,732093.py,0,0,0,0,0,0,0,0,different assignments
757233.py,758312.py,0,0,0,0,0,0,0,0,different assignments
758325.py,146392.py,0,0,0,0,0,0,0,0,different assignments
138251.py,138253.py,1,0,1,1,1,1,1,0,"identical simulation body (isStack/isQueue/isHeap flags as 1/0, spaced print calls); only the input loop was swapped to a for-over-stdin"
732564.py,732646.py,1,1,1,0,0,0,0,0,"identical program, whitespace only"
758885.py,147962.py,0,0,0,0,0,0,0,0,different assignments
757410.py,147204.py,0,0,0,0,0,0,0,0,different assignments
753178.py,753342.py,1,0,1,0,0,0,0,0,identical program with all comments stripped
758976.py,147962.py,0,0,0,0,0,0,0,0,different assignments
758554.py,147559.py,0,0,0,0,0,0,0,0,different assignments
757907.py,145403.py,0,0,0,0,0,0,0,0,different assignments
748405.py,146385.py,0,0,0,0,0,0,0,0,different assignments
759274.py,146416.py,0,0,0,0,0,0,0,0,different assignments
682974.py,147921.py,0,0,0,0,0,0,0,0,different assignments
756889.py,758287.py,1,1,1,0,0,0,0,0,"identical, whitespace only"
747619.py,759070.py,1,0,1,0,0,0,0,0,"identical program, one adds a banner comment line"
684919.py,684950.py,0,0,0,0,0,0,0,0,"only the minimal helper+zip skeleton in common, no shared comments or quirks"
145033.py,146823.py,1,1,1,0,0,0,0,0,"identical, including the redundant trailing s=0 reset"
686709.py,745598.py,1,0,1,1,0,0,0,0,"identical program with every identifier reduced to a single letter; same re.sub(r'[^\w-]', ' ') idiom"
756586.py,732232.py,0,0,0,0,0,0,0,0,different assignments
755259.py,754758.py,0,0,0,0,0,0,0,0,different assignments
754669.py,146835.py,0,0,0,0,0,0,0,0,different assignments
758539.py,759548.py,0,0,0,0,0,0,0,0,different assignments
691323.py,685098.py,0,0,0,0,0,0,0,0,different assignments
685580.py,749140.py,1,0,1,1,1,1,1,0,"same procesar_* design with boolean-sum verdict chain and resultados batching; renamed, deque swapped in and pop checks inlined"
757122.py,757188.py,1,0,1,0,0,0,0,0,"identical program including comments, one extra comment added"
758885.py,758927.py,1,0,1,0,0,0,0,0,"identical program, two explanatory comments added"
756296.py,758540.py,1,1,1,0,0,0,0,0,"identical, whitespace only"
145403.py,145412.py,0,0,0,0,0,0,0,0,"same standard loop, fully different naming; ordinary convergence"
682653.py,684060.py,1,1,1,0,0,0,0,0,"identical function incl. bare ""return None"" guard and odd single-space blank lines"
754883.py,146998.py,0,0,0,0,0,0,0,0,different assignments
754698.py,755532.py,1,1,1,0,0,0,0,0,byte-identical
147238.py,730903.py,0,0,0,0,0,0,0,0,different input handling and length check; independent
