File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes,Human_Label
770656.py,792062.py,0,0,0,0,0,0,0,0,One uses a single boolean expression and the other a nested if/else cascade; no shared idiosyncrasies.,0
150163.py,770668.py,0,0,0,0,0,0,0,0,Lambda one-liner vs a tab-indented nested-if function; entirely different styles.,0
693835.py,770198.py,0,0,0,0,0,0,0,0,Nested-if 'anio' version vs the canonical single-expression version with variable 'xd'; independent.,0
770607.py,770622.py,0,0,0,0,0,0,0,0,Both are the textbook single-boolean solution with different variable names; expected convergence.,0
770567.py,770853.py,1,0,1,0,0,0,0,0,Same three-level nested cascade with identical variable 'a' and matching stray trailing-double-space artifacts after the inner if colons.,1
773307.py,802351.py,0,0,0,0,0,0,0,0,One-space-indented %100-first cascade vs a range-guarded flag variable; unrelated.,0
770668.py,770688.py,1,0,1,1,0,0,0,0,Identical four-level True/False nested-if function body; only the function name (año_bisiesto/es_bisiesto) and tab-vs-space indentation differ.,1
694043.py,694110.py,1,1,1,0,0,0,0,0,"Byte-identical including the distinctive '#Años Bisiesto' comment and the 'print (""si"")' space-before-paren quirk; differ only in trailing blank lines.",1
693083.py,773307.py,0,0,0,0,0,0,0,0,Integer-division trick vs one-space-indented %100-first cascade; no shared traits.,0
773564.py,773593.py,0,0,0,0,0,0,0,0,Both canonical single-expression solutions; one collapses bodies onto the if line. Independent convergence.,0
773501.py,773526.py,0,0,0,0,0,0,0,0,Identical but only because both are the exact canonical textbook form shared by ~25 submissions; no distinguishing marker.,0
130230.py,784709.py,0,0,0,0,0,0,0,0,Same else-containing-nested-if shape but different variables and tab-vs-space indentation; a common beginner structure.,0
693791.py,770198.py,0,0,0,0,0,0,0,0,Nested 'anio' cascade vs canonical one-expression solution; independent.,0
773402.py,773553.py,0,0,0,0,0,0,0,0,Flag-variable approach vs a string-returning helper function; different designs.,0
693732.py,711087.py,0,0,0,0,0,0,0,0,Nested cascade with comment vs a five-line canonical solution; independent.,0
788409.py,791936.py,0,0,0,0,0,0,0,0,One has Spanish step comments and .strip(); the other uses reversed operand order and no comments.,0
773102.py,797286.py,0,0,0,0,0,0,0,0,Helper function returning strings vs a range-guarded elif chain; unrelated.,0
150163.py,781593.py,0,0,0,0,0,0,0,0,Lambda with the arithmetic formula vs a string-slicing approach on the year text; genuinely different techniques.,0
791981.py,773255.py,0,0,0,0,0,0,0,0,"Both use the refactored '%4 and (%100 or %400)' grouping but with different names, spacing and parenthesization; that grouping is common here.",0
770668.py,773593.py,0,0,0,0,0,0,0,0,Nested-if function vs a two-line canonical solution; independent.,0
