File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes,Human_Label
682351.py,683319.py,1,0,1,1,0,0,0,0,Line-for-line identical isalpha/toggle function; only function and variable names differ (hacer_bailarina/usar_mayuscula vs convertir_a_bailarina/mayuscula).,1
694470.py,697252.py,0,0,0,0,0,0,0,0,Completely different techniques: space-stripping plus list insert with ord arithmetic vs counter-mod helper function.,0
773117.py,777661.py,1,0,1,1,0,0,0,0,Same inline statement sequence with isalpha and boolean flag; differs only in names and the comment block.,1
147247.py,147694.py,1,0,1,1,0,0,0,0,Shares the idiosyncratic n/x counter test 'if x==0 or x%2==n'; only the outer loop variable differs.,1
760008.py,782006.py,0,0,0,0,0,0,0,0,isalpha/join helper reading via input() vs sys.stdin with ord arithmetic; no shared markers.,0
682522.py,796996.py,0,0,0,0,0,0,0,0,Print-per-character with continue vs string accumulation with explicit 'a'<=c<='z' range test.,0
134322.py,777355.py,0,0,0,0,0,0,0,0,Different families: print-per-char counter-mod vs cad/baile/sw accumulation.,0
744348.py,762155.py,0,0,0,0,0,0,0,0,isalpha helper with sys.stdin vs inline ord arithmetic with switch/mayus/minu constants.,0
685362.py,762155.py,0,0,0,0,0,0,0,0,Function plus main() with isalpha vs inline ord arithmetic; nothing shared beyond the task.,0
777317.py,777404.py,1,1,0,0,0,0,0,0,Byte-for-byte identical.,1
134072.py,794243.py,0,0,0,0,0,0,0,0,Idiosyncratic n/x counter trick vs blank-line-padded t=True toggle; unrelated.,0
133900.py,143199.py,0,0,0,0,0,0,0,0,Accumulator with d=2 counter vs print-per-char using chr(ord()-32); different approaches.,0
777271.py,777289.py,1,0,1,0,0,0,0,0,Same code; differs only in the #inicio/#fin comments and trailing whitespace.,1
777309.py,783625.py,0,0,0,0,0,0,0,0,cad/baile/sw inline family vs isalpha helper function; no shared idiosyncrasies.,0
134514.py,134518.py,1,1,0,0,0,0,0,0,Byte-for-byte identical.,1
681941.py,755549.py,1,0,1,1,0,0,0,0,Same compact solution including the distinctive ternary 'r+=x.upper() if m else x.lower()'; only indentation width and one loop name differ.,1
682646.py,777328.py,0,0,0,0,0,0,0,0,isalpha helper vs cad/baile/sw inline template; unrelated.,0
133870.py,761758.py,0,0,0,0,0,0,0,0,Pre-lowercasing with parity index vs helper function with sw flag and continue; independent.,0
133870.py,762232.py,0,0,0,0,0,0,0,0,Pre-lowercasing with parity index vs helper function with sw flag and continue; independent.,0
143835.py,687594.py,0,0,0,0,0,0,0,0,ASCII-range arithmetic with sw vs nov_bai helper using isalpha; different techniques.,0
682139.py,777349.py,0,0,0,0,0,0,0,0,Helper plus main() with isalpha vs cad/bailarina/sw inline template; unrelated.,0
689979.py,797058.py,0,0,0,0,0,0,0,0,Both use a space-continue plus boolean flag but that is the obvious solution; toggle written differently and no shared naming.,0
777315.py,777316.py,1,0,1,0,0,0,0,0,Identical statements; only spacing style and #Inicio/#Fin comments differ.,1
134397.py,134506.py,1,1,0,0,0,0,0,0,Byte-for-byte identical including the stray blank line inside the elif.,1
143807.py,744317.py,0,0,0,0,0,0,0,0,ASCII-range arithmetic vs isalpha-free helper with guard clause; independent.,0
684383.py,687509.py,1,0,1,1,0,1,0,0,Same helper body statement for statement; renamed and one version wraps the loop in enumerate() with an unused index.,1
777640.py,789477.py,0,0,0,0,0,0,0,0,isalpha for-loop accumulation vs while-countdown with '!= space' test; only the generic sw flag is shared.,0
777286.py,777459.py,1,0,1,0,0,0,0,0,Identical code including the unusual redundant parentheses in 'cad[i]==( )'; differs only in comments/whitespace.,1
684756.py,777300.py,0,0,0,0,0,0,0,0,isalpha helper vs cad/baile/sw inline template; unrelated.,0
134368.py,134388.py,1,1,0,0,0,0,0,0,Byte-for-byte identical including the one-space indentation.,1
134159.py,134226.py,1,0,1,1,0,0,0,0,Shares the idiosyncratic 'if x==0 or x%2==n' space-counter test; only identifiers renamed.,1
147206.py,692262.py,0,0,0,0,0,0,0,0,Pre-lowercased cont%2 loop with range(n+1) bug vs isalpha helper; independent.,0
147781.py,147927.py,1,1,0,0,0,0,0,0,Byte-for-byte identical.,1
134310.py,134322.py,1,1,0,0,0,0,0,0,Byte-for-byte identical.,1
685362.py,744348.py,1,0,1,1,0,1,0,0,Both use the same list-append isalpha helper with matching Spanish comments and the unusual sys.stdin.read() splitlines driver; driver reorganized (main()/__main__ vs inline results list).,1
143797.py,787865.py,0,0,0,0,0,0,0,0,ASCII-range arithmetic with sw vs simple upper/lower helper; different techniques.,0
777340.py,777341.py,1,1,0,0,0,0,0,0,Byte-for-byte identical including the trailing semicolon after sw=0.,1
699134.py,742709.py,0,0,0,0,0,0,0,0,Inline pre-lowercased toggle vs solve(list) with ord arithmetic and T=1-T; independent.,0
147901.py,697252.py,0,0,0,0,0,0,0,0,while-countdown printing per char vs explorer() accumulating with i%2; independent.,0
782144.py,796995.py,0,0,0,0,0,0,0,0,Helper with s=(s+1)%2 arithmetic vs inline explicit letter-range test; independent.,0
684883.py,777300.py,0,0,0,0,0,0,0,0,English-named isalpha helper vs cad/baile/sw template; unrelated.,0
