File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes
p1_binsearch_r0.py,p1_binsearch_r1.py,1,0,0,1,0,0,0,0,"Same binary search solution, same I/O contract and same overall approach; differs by identifiers renamed."
p1_binsearch_r0.py,p1_binsearch_r2.py,1,0,0,1,0,1,0,0,"Same binary search solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated."
p1_binsearch_r0.py,p1_binsearch_r3.py,1,0,0,1,0,1,1,0,"Same binary search solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent."
p1_binsearch_r0.py,p1_binsearch_r4.py,1,0,0,1,0,1,1,1,"Same binary search solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p1_binsearch_r1.py,p1_binsearch_r2.py,1,0,0,0,0,1,0,0,"Same binary search solution, same I/O contract and same overall approach; differs by statements reordered/consolidated."
p1_binsearch_r1.py,p1_binsearch_r3.py,1,0,0,0,0,1,1,0,"Same binary search solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent."
p1_binsearch_r1.py,p1_binsearch_r4.py,1,0,0,0,0,1,1,1,"Same binary search solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p1_binsearch_r2.py,p1_binsearch_r3.py,1,0,0,0,0,0,1,0,"Same binary search solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent."
p1_binsearch_r2.py,p1_binsearch_r4.py,1,0,0,0,0,0,1,1,"Same binary search solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p1_binsearch_r3.py,p1_binsearch_r4.py,1,0,0,0,0,0,1,1,"Same binary search solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p2_palindrome_r0.py,p2_palindrome_r1.py,1,0,0,1,0,0,0,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by identifiers renamed."
p2_palindrome_r0.py,p2_palindrome_r2.py,1,0,0,1,0,1,0,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated."
p2_palindrome_r0.py,p2_palindrome_r3.py,1,0,0,1,0,1,1,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent."
p2_palindrome_r0.py,p2_palindrome_r4.py,1,0,0,1,0,1,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p2_palindrome_r1.py,p2_palindrome_r2.py,1,0,0,0,0,1,0,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by statements reordered/consolidated."
p2_palindrome_r1.py,p2_palindrome_r3.py,1,0,0,0,0,1,1,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent."
p2_palindrome_r1.py,p2_palindrome_r4.py,1,0,0,0,0,1,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p2_palindrome_r2.py,p2_palindrome_r3.py,1,0,0,0,0,0,1,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent."
p2_palindrome_r2.py,p2_palindrome_r4.py,1,0,0,0,0,0,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p2_palindrome_r3.py,p2_palindrome_r4.py,1,0,0,0,0,0,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p3_gcd_r0.py,p3_gcd_r1.py,1,0,0,1,0,0,0,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed."
p3_gcd_r0.py,p3_gcd_r2.py,1,0,0,1,0,1,0,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated."
p3_gcd_r0.py,p3_gcd_r3.py,1,0,0,1,0,1,1,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent."
p3_gcd_r0.py,p3_gcd_r4.py,1,0,0,1,0,1,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p3_gcd_r1.py,p3_gcd_r2.py,1,0,0,0,0,1,0,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by statements reordered/consolidated."
p3_gcd_r1.py,p3_gcd_r3.py,1,0,0,0,0,1,1,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent."
p3_gcd_r1.py,p3_gcd_r4.py,1,0,0,0,0,1,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p3_gcd_r2.py,p3_gcd_r3.py,1,0,0,0,0,0,1,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent."
p3_gcd_r2.py,p3_gcd_r4.py,1,0,0,0,0,0,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p3_gcd_r3.py,p3_gcd_r4.py,1,0,0,0,0,0,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p4_sieve_r0.py,p4_sieve_r1.py,1,0,0,1,0,0,0,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed."
p4_sieve_r0.py,p4_sieve_r2.py,1,0,0,1,0,1,0,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated."
p4_sieve_r0.py,p4_sieve_r3.py,1,0,0,1,0,1,1,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent."
p4_sieve_r0.py,p4_sieve_r4.py,1,0,0,1,0,1,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p4_sieve_r1.py,p4_sieve_r2.py,1,0,0,0,0,1,0,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by statements reordered/consolidated."
p4_sieve_r1.py,p4_sieve_r3.py,1,0,0,0,0,1,1,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent."
p4_sieve_r1.py,p4_sieve_r4.py,1,0,0,0,0,1,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p4_sieve_r2.py,p4_sieve_r3.py,1,0,0,0,0,0,1,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent."
p4_sieve_r2.py,p4_sieve_r4.py,1,0,0,0,0,0,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p4_sieve_r3.py,p4_sieve_r4.py,1,0,0,0,0,0,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p5_reverselist_r0.py,p5_reverselist_r1.py,1,0,0,1,0,0,0,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed."
p5_reverselist_r0.py,p5_reverselist_r2.py,1,0,0,1,0,1,0,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated."
p5_reverselist_r0.py,p5_reverselist_r3.py,1,0,0,1,0,1,1,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent."
p5_reverselist_r0.py,p5_reverselist_r4.py,1,0,0,1,0,1,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p5_reverselist_r1.py,p5_reverselist_r2.py,1,0,0,0,0,1,0,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by statements reordered/consolidated."
p5_reverselist_r1.py,p5_reverselist_r3.py,1,0,0,0,0,1,1,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent."
p5_reverselist_r1.py,p5_reverselist_r4.py,1,0,0,0,0,1,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p5_reverselist_r2.py,p5_reverselist_r3.py,1,0,0,0,0,0,1,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent."
p5_reverselist_r2.py,p5_reverselist_r4.py,1,0,0,0,0,0,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p5_reverselist_r3.py,p5_reverselist_r4.py,1,0,0,0,0,0,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
p6_bfs_r0.py,p6_bfs_r1.py,1,0,0,1,0,0,0,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed."
p6_bfs_r0.py,p6_bfs_r2.py,1,0,0,1,0,1,0,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated."
p6_bfs_r0.py,p6_bfs_r3.py,1,0,0,1,0,1,1,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent."
p6_bfs_r0.py,p6_bfs_r4.py,1,0,0,1,0,1,1,1,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique."
