File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes
134128.py,134364.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134368.py,134388.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134390.py,134402.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134408.py,134410.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134425.py,134427.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134429.py,134463.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
134481.py,134497.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134501.py,134533.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134544.py,134549.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134571.py,134595.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134617.py,134626.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
134640.py,143112.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
143113.py,143126.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
143698.py,145285.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777234.py,777270.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777277.py,777299.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777300.py,777303.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777309.py,777311.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777328.py,777337.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777339.py,777348.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777349.py,777353.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777354.py,777355.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777371.py,777440.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777504.py,777651.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777734.py,777749.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777792.py,777794.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
777795.py,777811.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
777241.py,777247.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777253.py,777257.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777271.py,777289.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
777293.py,777310.py,1,1,0,0,0,0,0,0,Byte-identical files (verbatim copy).
777315.py,777316.py,1,0,1,1,0,0,0,0,"Same control-flow structure (toggle-case-per-character loop); differs only in identifier names, formatting, or comments."
